n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
87667.83186632866,677322.5029291649,677883.3073251082,677886.6205264793,677886.7199942331,677886.7204247303,3149395.458225542,327169.2010198915,30.956179383003832,1.7595095956487084e-11,974.9325075284744,0.101279084753658,110.0
72071.3885778258,680199.841883832,680831.2840385155,680835.1047030622,680835.2203321857,680835.2208463231,3148466.932656173,327169.1045474988,27.976821921769215,2.1087858318938565e-11,880.840987015007,0.09153151776230069,111.0
58124.308029239124,682760.0713053357,683470.5492486667,683474.9512788452,683475.0855712049,683475.0861845609,3147635.8327941117,327169.0181733802,24.79934963385371,2.5250878298828938e-11,780.5932153750748,0.08113578871046294,112.0
45905.70752388873,684987.5299752434,685786.3466138123,685791.4138987558,685791.5697174888,685791.570448386,3146906.7224411317,327168.9423800115,21.526643563496343,3.020838021434999e-11,677.4233934156076,0.07042849207660581,113.0
35438.17997833699,686877.1221594122,687774.5703861115,687780.3980307415,687780.5786481616,687780.5795181184,3146280.819102413,327168.8773013489,18.267682874453545,3.6106769142948954e-11,574.7526023733883,0.05976617296932045,114.0
26686.5826325048,688434.541120476,689441.9970161483,689448.6927168323,689448.9018684522,689448.9029027072,3145755.925356714,327168.8227152454,15.12981483256864,4.3118426562783075e-11,475.94704659102706,0.049500037066711404,115.0
19561.11205827233,689675.6849330805,690805.710253771,690813.3958414659,690813.6377870236,690813.6390151436,3145326.6123528453,327168.7780622559,12.210526338243348,5.144612542558629e-11,384.06093442512145,0.03994902981580068,116.0
13924.659057207107,690625.265526323,691891.7207431275,691900.5339172732,691900.8135097662,691900.8149663503,3144984.6549549177,327168.7424907956,9.589725660071627,6.1328163051938e-11,301.5954004615269,0.03137458485037349,117.0
9603.888518715752,691314.7151403168,692732.8843611872,692742.9806405695,692743.3034044335,692743.3051299293,3144719.685908739,327168.7149252433,7.323638823516654,7.304432517020599e-11,230.3079118079834,0.023960655024665642,118.0
6402.9069759754275,691779.6041203957,693366.3331744077,693377.8880929671,693378.2603126384,693378.2623542888,3144520.0021607117,327168.6941499899,5.441280021064594,8.692281259826674e-11,171.10213863595075,0.01780216478996133,119.0
4117.9736435310415,692056.8606493744,693830.7095448124,693843.9211224015,693844.3499426156,693844.3523555587,3144373.432477022,327168.67889992654,3.9441186470646064,1.0334828154974478e-10,124.01781888367165,0.012903920871846929,120.0
2551.505446320424,692182.1217885492,694163.532629985,694178.6241494729,694179.1176887519,694179.1205372936,3144268.1633155947,327168.6679465997,2.8090218137365555,1.2277117070815578e-10,88.3231785899088,0.009190239250331304,121.0
1523.750551393488,692187.5219524088,694399.0032792209,694416.2264028431,694416.7938817263,694416.7972408147,3144193.4270856297,327168.66017002234,1.993947237701909,1.4571851361228248e-10,62.6935579873789,0.006523570462086506,122.0
880.9288207588933,692100.1452161339,694566.4736370114,694586.1118966902,694586.7637823806,694586.7677393098,3144139.981815638,327168.6546087336,1.4453320797335927,1.7280646131860385e-10,45.443263788911366,0.004728673519892824,123.0
499.2936714731555,691941.2443780833,694689.6843539745,694712.057052904,694712.8052221471,694712.8098785256,3144100.3498994326,327168.6504847428,1.105827061132896,2.047547722722297e-10,34.768312498362,0.0036179194726035876,124.0
285.2932263140427,691726.1934905419,694786.7361777223,694812.2027440245,694813.0606662302,694813.0661402508,3144068.8262925544,327168.6472044434,0.9210519075556683,2.4240356129596573e-10,28.958505899430687,0.003013393066000601,125.0
172.6314585087708,691465.0232351307,694870.6454448445,694899.6102829553,694900.5932258072,694900.5996548616,3144041.3033611095,327168.64434042125,0.8443994185450345,2.8673264063016964e-10,26.548266484396937,0.002762610130472189,126.0
117.40380202971016,691163.3180494992,694950.2625685709,694983.180459621,694984.305719698,694984.3132633864,3144014.9817377976,327168.64160138305,0.8394763709427532,3.3888383330788785e-10,26.39326287058893,0.002746503439377993,127.0
92.53992910719356,690823.2428207541,695031.3215604565,695068.7036697693,695069.9908310409,695069.9996746305,3143988.0400446374,327168.6387977961,0.8803566697383161,4.0018669438046173e-10,27.678308406307927,0.002880250932948458,128.0
82.56790414897351,690444.5080190977,695117.4296559707,695159.8502129987,695161.3214364075,695161.3317948097,3143959.323470291,327168.63580948615,0.9502563392813671,4.721881353915003e-10,29.87567277570403,0.0031089407019200114,129.0
79.33092414681937,690025.1542101166,695210.8781458181,695258.9818696,695260.6622173492,695260.6743396838,3143928.0885619386,327168.6325590817,1.0394143009515926,5.566865226561864e-10,32.67843816414685,0.0034006375550468637,130.0
78.88409187648263,689562.1129230687,695313.2314967308,695367.7418478669,695369.6596464361,695369.6738212713,3143893.8177126325,327168.6289927104,1.1428780869268946,6.557708934612358e-10,35.93087351888705,0.003739138568056838,131.0
79.48770971709125,689051.5594429653,695425.7103963665,695487.4387449207,695489.6259912909,695489.6425526524,3143856.0984204905,327168.62506743445,1.2586500064241959,7.718660269860916e-10,39.570144984736984,0.004117907920429217,132.0
80.44675470465786,688489.1045652468,695549.4157940376,695619.2716017121,695621.7644177638,695621.7837520237,3143814.552513693,327168.6207438852,1.3863720825341683,9.077842085815681e-10,43.58496728269633,0.004535774420805317,133.0
81.51138655106195,687869.8789680036,695685.4475917522,695764.4497160775,695767.2888566412,695767.3114104082,3143768.7984665143,327168.61598234205,1.5265194167063898,1.0667846185594333e-09,47.99024112494852,0.004994292448340016,134.0
82.60126622233449,687188.554829723,695834.9626461497,695924.2518858932,695927.483306564,695927.5095957206,3143718.432759605,327168.6107407914,1.6799701165317174,1.2526415106490624e-09,52.81353021826062,0.005496334891117275,135.0
83.6932511569606,686439.3349463851,695999.2022794214,696100.0552911722,696103.7307826034,696103.761402644,3143663.020785752,327168.6049739792,1.8478063408112386,1.4697221292153598e-09,58.08880463181726,0.0060454422278528605,136.0
84.78110075355409,685615.926555468,696179.50650251,696293.3512319752,696297.5291281121,696297.5647659671,3143602.0918876384,327168.59863289434,2.0312357396530105,1.7230762371029687e-09,63.85396920290139,0.0066455655043532605,137.0
85.86283816934403,684711.5082256553,696377.3232960645,696505.7560838973,696510.5020525216,696510.5435000713,3143535.1358984183,327168.59166440676,2.231566439107562,2.0185382002290358e-09,70.15007509426339,0.0073009844908837615,138.0
86.93731268421672,683718.6934412987,696594.2163840778,696739.0209177614,696744.4088423934,696744.4570119058,3143461.600101484,327168.5840109502,2.4502023070157994,2.3628440420376096e-09,77.02116864584232,0.008016292193267225,139.0
88.00338878838505,682629.4920434642,696831.8727365049,696995.0410466864,697001.1540103608,697001.2099521211,3143380.8862122414,327168.5756102058,2.6886445165831514,2.7637650010059136e-09,84.5143378324683,0.008796399968127,140.0
